epsilon,delta_I,lambda,sigma_mult,sigma,n,p_pre_window,p_window,p_post_window,p_no_hit,p_any_hit,p_entered_window,mean_entry_count,p_multiple_entries,median_first_hit_W_ratio,scale_half,scale_twothirds,scale_eps34
0.04,0.02,0.016,4.0,0.10119288512538814,1000,0.098,0.107,0.133,0.662,0.338,0.903,0.903,0.0,0.9237127576027804,4.0,7.968440379316894,1.131370849898476
0.04,0.02,0.016,5.0,0.12649110640673517,1000,0.192,0.117,0.118,0.573,0.427,0.808,0.809,0.001,1.7079108898090882,5.0,9.960550474146116,1.414213562373095
0.04,0.02,0.016,6.5,0.1644384383287557,1000,0.311,0.108,0.103,0.478,0.522,0.69,0.69,0.0,2.6726051194223057,6.499999999999999,12.94871561638995,1.8384776310850233
0.04,0.02,0.016,8.0,0.20238577025077628,1000,0.431,0.108,0.082,0.379,0.621,0.57,0.57,0.0,3.6806012709516778,8.0,15.936880758633787,2.262741699796952
0.04,0.04,0.032,0.0,0.0,1000,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0
0.04,0.04,0.032,0.5,0.01788854381999832,1000,0.0,0.0,0.004,0.996,0.004,1.0,1.0,0.0,0.00017971716346438957,0.5,0.8873841649388925,0.2
0.04,0.04,0.032,1.0,0.03577708763999664,1000,0.0,0.0,0.064,0.936,0.064,1.0,1.0,0.0,0.0008322360926986882,1.0,1.774768329877785,0.4
0.04,0.04,0.032,1.5,0.053665631459994964,1000,0.0,0.017,0.132,0.851,0.149,1.0,1.001,0.001,0.0014299649066141006,1.5000000000000002,2.6621524948166777,0.6000000000000001
0.04,0.04,0.032,2.0,0.07155417527999328,1000,0.007,0.052,0.163,0.778,0.222,0.993,0.993,0.0,0.0037167799793875263,2.0,3.54953665975557,0.8
0.04,0.04,0.032,2.5,0.08944271909999159,1000,0.025,0.082,0.178,0.715,0.285,0.975,0.975,0.0,0.21953110232929887,2.5,4.436920824694462,1.0
0.04,0.04,0.032,3.0,0.10733126291998993,1000,0.07,0.136,0.186,0.608,0.392,0.93,0.93,0.0,0.564706547669682,3.0000000000000004,5.324304989633355,1.2000000000000002
0.04,0.04,0.032,4.0,0.14310835055998655,1000,0.178,0.158,0.164,0.5,0.5,0.822,0.823,0.001,1.2234072873545419,4.0,7.09907331951114,1.6
0.04,0.04,0.032,5.0,0.17888543819998318,1000,0.285,0.171,0.14,0.404,0.596,0.719,0.719,0.0,1.9171829928653552,5.0,8.873841649388924,2.0
0.04,0.04,0.032,6.5,0.23255106965997813,1000,0.453,0.137,0.101,0.309,0.691,0.548,0.551,0.001,3.0108225957157906,6.499999999999999,11.5359941442056,2.6
0.04,0.04,0.032,8.0,0.2862167011199731,1000,0.541,0.112,0.099,0.248,0.752,0.46,0.46,0.0,3.9981775834499205,8.0,14.19814663902228,3.2
0.08,0.01,0.008,0.0,0.0,1000,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0
0.08,0.01,0.008,0.5,0.012649110640673518,1000,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,,0.5,1.1180339887498947,0.08408964152537146
0.08,0.01,0.008,1.0,0.025298221281347035,1000,0.0,0.0,0.001,0.999,0.001,1.0,1.0,0.0,0.0009860240100587486,1.0,2.2360679774997894,0.16817928305074292
0.08,0.01,0.008,1.5,0.03794733192202055,1000,0.0,0.0,0.008,0.992,0.008,1.0,1.0,0.0,0.0005524091275738384,1.5,3.354101966249684,0.2522689245761144
0.08,0.01,0.008,2.0,0.05059644256269407,1000,0.001,0.004,0.019,0.976,0.024,0.999,0.999,0.0,0.0015297370086401483,2.0,4.472135954999579,0.33635856610148585
0.08,0.01,0.008,2.5,0.06324555320336758,1000,0.002,0.005,0.037,0.956,0.044,0.999,0.999,0.0,0.002802441186383485,2.5,5.590169943749473,0.42044820762685725
0.08,0.01,0.008,3.0,0.0758946638440411,1000,0.015,0.036,0.061,0.888,0.112,0.987,0.995,0.007,0.36050748280900846,3.0,6.708203932499368,0.5045378491522288
0.08,0.01,0.008,4.0,0.10119288512538814,1000,0.049,0.054,0.068,0.829,0.171,0.956,0.96,0.004,0.8816488290654819,4.0,8.944271909999157,0.6727171322029717
0.08,0.01,0.008,5.0,0.12649110640673517,1000,0.111,0.077,0.081,0.731,0.269,0.894,0.899,0.005,1.5727544301851515,5.0,11.180339887498945,0.8408964152537145
0.08,0.01,0.008,6.5,0.1644384383287557,1000,0.207,0.079,0.071,0.643,0.357,0.797,0.798,0.001,2.754890116142872,6.499999999999999,14.53444185374863,1.0931653398298289
0.08,0.01,0.008,8.0,0.20238577025077628,1000,0.272,0.093,0.075,0.56,0.44,0.728,0.729,0.001,3.05981833241794,8.0,17.888543819998315,1.3454342644059434
0.08,0.02,0.016,0.0,0.0,1000,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0
0.08,0.02,0.016,0.5,0.017888543819998316,1000,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,,0.5,0.9960550474146117,0.1189207115002721
0.08,0.02,0.016,1.0,0.03577708763999663,1000,0.0,0.0,0.004,0.996,0.004,1.0,1.0,0.0,0.0002849456994844472,1.0,1.9921100948292234,0.2378414230005442
0.08,0.02,0.016,1.5,0.05366563145999495,1000,0.0,0.005,0.032,0.963,0.037,1.0,1.0,0.0,0.001444145391098128,1.5,2.9881651422438353,0.35676213450081634
0.08,0.02,0.016,2.0,0.07155417527999326,1000,0.001,0.018,0.069,0.912,0.088,0.999,0.999,0.0,0.0017116905594666571,2.0,3.984220189658447,0.4756828460010884
0.08,0.02,0.016,2.5,0.08944271909999157,1000,0.018,0.041,0.089,0.852,0.148,0.983,0.986,0.003,0.21737711443636953,2.5,4.980275237073058,0.5946035575013605
0.08,0.02,0.016,3.0,0.1073312629199899,1000,0.021,0.06,0.122,0.797,0.203,0.98,0.98,0.0,0.28256157586355773,3.0,5.976330284487671,0.7135242690016327
0.08,0.02,0.016,4.0,0.14310835055998652,1000,0.086,0.088,0.104,0.722,0.278,0.917,0.918,0.001,0.9696564385490818,4.0,7.968440379316894,0.9513656920021768
0.08,0.02,0.016,5.0,0.17888543819998315,1000,0.165,0.115,0.099,0.621,0.379,0.838,0.839,0.001,1.6375792873434671,5.0,9.960550474146116,1.189207115002721
0.08,0.02,0.016,6.5,0.2325510696599781,1000,0.275,0.112,0.108,0.505,0.495,0.728,0.729,0.001,2.429490742388556,6.5,12.948715616389952,1.5459692495035373
0.08,0.02,0.016,8.0,0.28621670111997305,1000,0.358,0.111,0.092,0.439,0.561,0.643,0.644,0.001,3.262822701415469,8.0,15.936880758633787,1.9027313840043536
0.08,0.04,0.032,0.0,0.0,1000,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0
0.08,0.04,0.032,0.5,0.025298221281347035,1000,0.0,0.0,0.001,0.999,0.001,1.0,1.0,0.0,0.0005880256508220299,0.5,0.8873841649388925,0.16817928305074292
0.08,0.04,0.032,1.0,0.05059644256269407,1000,0.0,0.0,0.028,0.972,0.028,1.0,1.0,0.0,0.0006635256283837995,1.0,1.774768329877785,0.33635856610148585
0.08,0.04,0.032,1.5,0.0758946638440411,1000,0.0,0.01,0.109,0.881,0.119,1.0,1.0,0.0,0.001116556886078725,1.5,2.6621524948166773,0.5045378491522288
0.08,0.04,0.032,2.0,0.10119288512538814,1000,0.004,0.041,0.137,0.818,0.182,0.996,0.996,0.0,0.01564004381789571,2.0,3.54953665975557,0.6727171322029717
0.08,0.04,0.032,2.5,0.12649110640673517,1000,0.017,0.07,0.16,0.753,0.247,0.983,0.983,0.0,0.2420670451205697,2.5,4.436920824694462,0.8408964152537145
0.08,0.04,0.032,3.0,0.1517893276880822,1000,0.055,0.112,0.169,0.664,0.336,0.946,0.946,0.0,0.48084788789400473,3.0,5.3243049896333545,1.0090756983044575
0.08,0.04,0.032,4.0,0.20238577025077628,1000,0.146,0.148,0.143,0.563,0.437,0.855,0.855,0.0,1.0532662207412093,4.0,7.09907331951114,1.3454342644059434
0.08,0.04,0.032,5.0,0.25298221281347033,1000,0.225,0.154,0.143,0.478,0.522,0.775,0.776,0.001,1.6867594022855446,5.0,8.873841649388924,1.681792830507429
0.08,0.04,0.032,6.5,0.3288768766575114,1000,0.374,0.142,0.1,0.384,0.616,0.627,0.627,0.0,2.7357570920878294,6.499999999999999,11.5359941442056,2.1863306796596578
0.08,0.04,0.032,8.0,0.40477154050155256,1000,0.454,0.132,0.093,0.321,0.679,0.547,0.549,0.002,3.592960518220063,8.0,14.19814663902228,2.6908685288118868
