q,window_lo,window_hi,lambda,eta,hit_prob,W_star,W_lo,W_hi,n
0.5,0.25,2.0,0.004,0.4,0.9985,0.02519842099789747,0.006299605249474367,0.05039684199579494,2000
0.5,0.25,2.0,0.004,0.6,1.0,0.02519842099789747,0.006299605249474367,0.05039684199579494,2000
0.5,0.25,2.0,0.004,0.85,1.0,0.02519842099789747,0.006299605249474367,0.05039684199579494,2000
0.5,0.25,2.0,0.004,1.1,1.0,0.02519842099789747,0.006299605249474367,0.05039684199579494,2000
0.5,0.25,2.0,0.006,0.0,0.0,0.033019272488946275,0.008254818122236569,0.06603854497789255,2000
0.5,0.25,2.0,0.006,0.02,0.0,0.033019272488946275,0.008254818122236569,0.06603854497789255,2000
0.5,0.25,2.0,0.006,0.035,0.0,0.033019272488946275,0.008254818122236569,0.06603854497789255,2000
0.5,0.25,2.0,0.006,0.05,0.008,0.033019272488946275,0.008254818122236569,0.06603854497789255,2000
0.5,0.25,2.0,0.006,0.07,0.069,0.033019272488946275,0.008254818122236569,0.06603854497789255,2000
0.5,0.25,2.0,0.006,0.1,0.293,0.033019272488946275,0.008254818122236569,0.06603854497789255,2000
0.5,0.25,2.0,0.006,0.14,0.5405,0.033019272488946275,0.008254818122236569,0.06603854497789255,2000
0.5,0.25,2.0,0.006,0.2,0.812,0.033019272488946275,0.008254818122236569,0.06603854497789255,2000
0.5,0.25,2.0,0.006,0.28,0.949,0.033019272488946275,0.008254818122236569,0.06603854497789255,2000
0.5,0.25,2.0,0.006,0.4,0.993,0.033019272488946275,0.008254818122236569,0.06603854497789255,2000
0.5,0.25,2.0,0.006,0.6,1.0,0.033019272488946275,0.008254818122236569,0.06603854497789255,2000
0.5,0.25,2.0,0.006,0.85,1.0,0.033019272488946275,0.008254818122236569,0.06603854497789255,2000
0.5,0.25,2.0,0.006,1.1,1.0,0.033019272488946275,0.008254818122236569,0.06603854497789255,2000
0.5,0.25,2.0,0.008,0.0,0.0,0.04000000000000001,0.010000000000000002,0.08000000000000002,2000
0.5,0.25,2.0,0.008,0.02,0.0,0.04000000000000001,0.010000000000000002,0.08000000000000002,2000
0.5,0.25,2.0,0.008,0.035,0.0,0.04000000000000001,0.010000000000000002,0.08000000000000002,2000
0.5,0.25,2.0,0.008,0.05,0.0015,0.04000000000000001,0.010000000000000002,0.08000000000000002,2000
0.5,0.25,2.0,0.008,0.07,0.029,0.04000000000000001,0.010000000000000002,0.08000000000000002,2000
0.5,0.25,2.0,0.008,0.1,0.1695,0.04000000000000001,0.010000000000000002,0.08000000000000002,2000
0.5,0.25,2.0,0.008,0.14,0.421,0.04000000000000001,0.010000000000000002,0.08000000000000002,2000
0.5,0.25,2.0,0.008,0.2,0.733,0.04000000000000001,0.010000000000000002,0.08000000000000002,2000
0.5,0.25,2.0,0.008,0.28,0.911,0.04000000000000001,0.010000000000000002,0.08000000000000002,2000
0.5,0.25,2.0,0.008,0.4,0.9875,0.04000000000000001,0.010000000000000002,0.08000000000000002,2000
0.5,0.25,2.0,0.008,0.6,0.999,0.04000000000000001,0.010000000000000002,0.08000000000000002,2000
0.5,0.25,2.0,0.008,0.85,1.0,0.04000000000000001,0.010000000000000002,0.08000000000000002,2000
0.5,0.25,2.0,0.008,1.1,1.0,0.04000000000000001,0.010000000000000002,0.08000000000000002,2000
0.5,0.25,2.0,0.012,0.0,0.0,0.05241482788417794,0.013103706971044486,0.10482965576835589,2000
0.5,0.25,2.0,0.012,0.02,0.0,0.05241482788417794,0.013103706971044486,0.10482965576835589,2000
0.5,0.25,2.0,0.012,0.035,0.0,0.05241482788417794,0.013103706971044486,0.10482965576835589,2000
0.5,0.25,2.0,0.012,0.05,0.0,0.05241482788417794,0.013103706971044486,0.10482965576835589,2000
0.5,0.25,2.0,0.012,0.07,0.0075,0.05241482788417794,0.013103706971044486,0.10482965576835589,2000
0.5,0.25,2.0,0.012,0.1,0.078,0.05241482788417794,0.013103706971044486,0.10482965576835589,2000
0.5,0.25,2.0,0.012,0.14,0.248,0.05241482788417794,0.013103706971044486,0.10482965576835589,2000
0.5,0.25,2.0,0.012,0.2,0.559,0.05241482788417794,0.013103706971044486,0.10482965576835589,2000
0.5,0.25,2.0,0.012,0.28,0.802,0.05241482788417794,0.013103706971044486,0.10482965576835589,2000
0.5,0.25,2.0,0.012,0.4,0.956,0.05241482788417794,0.013103706971044486,0.10482965576835589,2000
0.5,0.25,2.0,0.012,0.6,0.998,0.05241482788417794,0.013103706971044486,0.10482965576835589,2000
0.5,0.25,2.0,0.012,0.85,1.0,0.05241482788417794,0.013103706971044486,0.10482965576835589,2000
0.5,0.25,2.0,0.012,1.1,1.0,0.05241482788417794,0.013103706971044486,0.10482965576835589,2000
0.5,0.25,2.0,0.016,0.0,0.0,0.06349604207872799,0.015874010519681996,0.12699208415745597,2000
0.5,0.25,2.0,0.016,0.02,0.0,0.06349604207872799,0.015874010519681996,0.12699208415745597,2000
0.5,0.25,2.0,0.016,0.035,0.0,0.06349604207872799,0.015874010519681996,0.12699208415745597,2000
0.5,0.25,2.0,0.016,0.05,0.0,0.06349604207872799,0.015874010519681996,0.12699208415745597,2000
0.5,0.25,2.0,0.016,0.07,0.001,0.06349604207872799,0.015874010519681996,0.12699208415745597,2000
0.5,0.25,2.0,0.016,0.1,0.031,0.06349604207872799,0.015874010519681996,0.12699208415745597,2000
