path,t,v,w,V_blow,W_blow,hit,sigma_mult,sigma,lambda,epsilon,I,w_fold
2,0.09960000000000001,-1.1562157957114694,-0.3387642016734058,-0.575503911986225,0.22035368498594723,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
3,0.09960000000000001,-1.1562157957114694,-0.3387642016734058,-0.575503911986225,0.22035368498594723,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
4,0.09960000000000001,-1.1562157957114694,-0.3387642016734058,-0.575503911986225,0.22035368498594723,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
5,0.09960000000000001,-1.1562157957114694,-0.3387642016734058,-0.575503911986225,0.22035368498594723,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
6,0.09960000000000001,-1.1562157957114694,-0.3387642016734058,-0.575503911986225,0.22035368498594723,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
7,0.09960000000000001,-1.1562157957114694,-0.3387642016734058,-0.575503911986225,0.22035368498594723,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
0,0.0998,-1.156121412637714,-0.3388012425602804,-0.5751562017695715,0.21985096280661418,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
1,0.0998,-1.156121412637714,-0.3388012425602804,-0.5751562017695715,0.21985096280661418,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
2,0.0998,-1.156121412637714,-0.3388012425602804,-0.5751562017695715,0.21985096280661418,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
3,0.0998,-1.156121412637714,-0.3388012425602804,-0.5751562017695715,0.21985096280661418,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
4,0.0998,-1.156121412637714,-0.3388012425602804,-0.5751562017695715,0.21985096280661418,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
5,0.0998,-1.156121412637714,-0.3388012425602804,-0.5751562017695715,0.21985096280661418,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
6,0.0998,-1.156121412637714,-0.3388012425602804,-0.5751562017695715,0.21985096280661418,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
7,0.0998,-1.156121412637714,-0.3388012425602804,-0.5751562017695715,0.21985096280661418,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
0,0.1,-1.1560269769672897,-0.3388382586439983,-0.5748082977851334,0.21934857725790777,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
1,0.1,-1.1560269769672897,-0.3388382586439983,-0.5748082977851334,0.21934857725790777,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
