lambda,eta,hit_prob,n,W_star,requested_W_lo,requested_W_hi,effective_W_lo,effective_W_hi,window_clipped,skipped
0.064,0.02,0.0,2000,0.16000000000000003,0.08000000000000002,0.32000000000000006,0.08000000000000002,0.32000000000000006,False,False
0.064,0.035,0.0,2000,0.16000000000000003,0.08000000000000002,0.32000000000000006,0.08000000000000002,0.32000000000000006,False,False
0.064,0.05,0.0,2000,0.16000000000000003,0.08000000000000002,0.32000000000000006,0.08000000000000002,0.32000000000000006,False,False
0.064,0.07,0.0,2000,0.16000000000000003,0.08000000000000002,0.32000000000000006,0.08000000000000002,0.32000000000000006,False,False
0.064,0.1,0.0,2000,0.16000000000000003,0.08000000000000002,0.32000000000000006,0.08000000000000002,0.32000000000000006,False,False
0.064,0.14,0.0,2000,0.16000000000000003,0.08000000000000002,0.32000000000000006,0.08000000000000002,0.32000000000000006,False,False
0.064,0.2,0.0045,2000,0.16000000000000003,0.08000000000000002,0.32000000000000006,0.08000000000000002,0.32000000000000006,False,False
0.064,0.28,0.0565,2000,0.16000000000000003,0.08000000000000002,0.32000000000000006,0.08000000000000002,0.32000000000000006,False,False
0.064,0.4,0.2395,2000,0.16000000000000003,0.08000000000000002,0.32000000000000006,0.08000000000000002,0.32000000000000006,False,False
0.064,0.6,0.59,2000,0.16000000000000003,0.08000000000000002,0.32000000000000006,0.08000000000000002,0.32000000000000006,False,False
0.064,0.85,0.858,2000,0.16000000000000003,0.08000000000000002,0.32000000000000006,0.08000000000000002,0.32000000000000006,False,False
0.064,1.1,0.9555,2000,0.16000000000000003,0.08000000000000002,0.32000000000000006,0.08000000000000002,0.32000000000000006,False,False
